metric,mean,std
accuracy,0.6120887312210318,0.12247542937388813
f1_score,0.5961674001906104,0.16491580530093275
precision,0.6787289385057659,0.2331075075046592
recall,0.6392610282816105,0.20741568246213435
auc,0.7392556405227659,0.11530025355477624
