metric,mean,std
accuracy,0.5414381293701886,0.07323514896514023
f1_score,0.5665305519506795,0.15020613293216595
precision,0.5778365996638848,0.22495361382872067
recall,0.632989778517009,0.09837345282639674
auc,0.5863543569042656,0.06270833559861287
