metric,mean,std
accuracy,0.5538600568222573,0.08590504150311076
f1_score,0.5321645808602579,0.15142027478107217
precision,0.5966453440621804,0.2257963757608532
recall,0.5351489584485197,0.15639643024397012
auc,0.5805671549331997,0.10094603448514115
