metric,mean,std
accuracy,0.6147033147005627,0.1499206155235314
f1_score,0.6046149534652687,0.18241840180737745
precision,0.6846035472215086,0.2006859051698418
recall,0.6329315732375898,0.24601367569525537
auc,0.7316178818703579,0.16504930002423465
