metric,mean,std
accuracy,0.5664636832160055,0.07620080613869062
f1_score,0.4758434501533391,0.14461773251450033
precision,0.5381819275260381,0.23970751972751128
recall,0.509177405092831,0.13692328471930165
auc,0.6120145803893083,0.084771315073249
