metric,mean,std
accuracy,0.5336363760925047,0.07727386494370206
f1_score,0.4339916528063797,0.17216264860734343
precision,0.4969122141632982,0.25820151917262296
recall,0.4561680520710733,0.16378534622269705
auc,0.5424482888987395,0.08077646565868551
