metric,mean,std
accuracy,0.6074386138609741,0.15853896562364023
f1_score,0.5482949162668167,0.18962282541089936
precision,0.6139405696557695,0.25596677042349375
recall,0.6154550654103288,0.23266692406949618
auc,0.7132278399979972,0.16873638070763183
