metric,mean,std
accuracy,0.6505003868489149,0.08235774275556536
f1_score,0.6475295062968367,0.11756846388306894
precision,0.6929537381545884,0.17484512990121714
recall,0.6566021880553133,0.13771567124167905
auc,0.7313808748301736,0.09769628177765188
