metric,mean,std
accuracy,0.5985104855062212,0.14739096316049816
f1_score,0.5845275743356844,0.18842858303429505
precision,0.6546611018817132,0.23404424145874392
recall,0.6384655947516411,0.25413548146222625
auc,0.7175204309610667,0.1718640900151487
